,OR,DR,TOT,A,PF,ST,TO TO,BL,POSS,win_or_loss,points_per_poss,true_shooting_%,Off_reb_minus_TO,opp_fgpct,TO_rate,off_reb_pct,free_throw_pct_of_FGA,free_throw_pct,FG_pct,eff_fg_pct,opp_eff_fg_pct,rest_days_adj,made_FG_poss,attempted_FG_poss,total_rebounds_poss,3P_pct,close,long-range,mid-range,3_point_pct_of_fga,close_pct_of_fga,long_range_pct_of_fga,mid_range_pct_of_fga
0,13,29,42,17,22,6,18,6,100.4,0,0.8764940239043824,0.4592901878914405,-5,0.4787234042553192,0.1792828685258964,0.24528301886792453,0.22988505747126436,0.75,0.367816091954023,0.41954022988505746,0.5478723404255319,3.0,0.3187250996015936,0.8665338645418326,0.4183266932270916,0.3333333333333333,19,1,34,0.3103448275862069,0.21839080459770116,0.011494252873563218,0.39080459770114945
1,11,40,51,31,22,12,15,5,100.4,1,1.1653386454183268,0.5715123094958968,-4,0.367816091954023,0.149402390438247,0.275,0.20212765957446807,0.7368421052631579,0.4787234042553192,0.5478723404255319,0.41954022988505746,3.0,0.448207171314741,0.9362549800796812,0.5079681274900398,0.37142857142857144,30,0,21,0.3723404255319149,0.3191489361702128,0.0,0.22340425531914893
2,6,25,31,19,19,9,14,5,92.5,0,1.1243243243243244,0.5840071877807727,-8,0.52,0.15135135135135136,0.17142857142857143,0.1951219512195122,1.0,0.4878048780487805,0.5365853658536586,0.6066666666666667,3.0,0.43243243243243246,0.8864864864864865,0.33513513513513515,0.3333333333333333,23,0,30,0.2926829268292683,0.2804878048780488,0.0,0.36585365853658536
3,5,29,34,22,18,5,13,3,92.5,1,1.2216216216216216,0.6672177609825224,-8,0.4878048780487805,0.14054054054054055,0.16666666666666666,0.29333333333333333,1.0,0.52,0.6066666666666667,0.5365853658536586,3.0,0.42162162162162165,0.8108108108108109,0.3675675675675676,0.6842105263157895,17,0,29,0.25333333333333335,0.22666666666666666,0.0,0.38666666666666666
4,21,34,55,25,19,13,14,3,98.8,1,1.305668016194332,0.5893640350877193,7,0.47058823529411764,0.1417004048582996,0.4375,0.2653061224489796,0.8846153846153846,0.47959183673469385,0.5408163265306123,0.5117647058823529,3.0,0.4757085020242915,0.9919028340080972,0.5566801619433198,0.5,25,0,43,0.24489795918367346,0.25510204081632654,0.0,0.4387755102040816
5,8,27,35,24,19,11,16,6,98.8,0,1.0121457489878543,0.5380972879896685,-8,0.47959183673469385,0.16194331983805668,0.19047619047619047,0.21176470588235294,0.7222222222222222,0.47058823529411764,0.5117647058823529,0.5408163265306123,3.0,0.4048582995951417,0.8603238866396762,0.354251012145749,0.21212121212121213,19,1,18,0.38823529411764707,0.2235294117647059,0.011764705882352941,0.21176470588235294
6,16,36,52,27,22,5,12,7,95.3,1,1.1332633788037776,0.5190311418685121,4,0.38202247191011235,0.12591815320041974,0.34782608695652173,0.16494845360824742,0.625,0.4845360824742268,0.5051546391752577,0.4157303370786517,3.0,0.4931794333683106,1.0178384050367262,0.5456453305351522,0.25,38,0,36,0.16494845360824742,0.3917525773195876,0.0,0.3711340206185567
7,15,30,45,20,15,5,11,4,95.3,0,1.0073452256033577,0.47374654559810503,4,0.4845360824742268,0.11542497376705142,0.29411764705882354,0.3146067415730337,0.7857142857142857,0.38202247191011235,0.4157303370786517,0.5051546391752577,3.0,0.3567681007345226,0.9338929695697796,0.472193074501574,0.3333333333333333,22,0,40,0.20224719101123595,0.24719101123595505,0.0,0.449438202247191
8,10,39,49,26,27,8,15,8,114.4,0,1.0576923076923077,0.5405646890636169,-5,0.5053763440860215,0.13111888111888112,0.18518518518518517,0.17307692307692307,0.7222222222222222,0.4326923076923077,0.5192307692307693,0.5591397849462365,3.0,0.39335664335664333,0.9090909090909091,0.4283216783216783,0.375,30,0,24,0.46153846153846156,0.28846153846153844,0.0,0.23076923076923078
9,8,44,52,30,23,11,16,6,114.4,1,1.1363636363636365,0.6020748425342719,-8,0.4326923076923077,0.13986013986013984,0.1702127659574468,0.3655913978494624,0.7647058823529411,0.5053763440860215,0.5591397849462365,0.5192307692307693,3.0,0.41083916083916083,0.8129370629370629,0.45454545454545453,0.5263157894736842,30,0,37,0.20430107526881722,0.3225806451612903,0.0,0.3978494623655914
10,15,29,44,22,19,8,16,3,103.0,0,1.1359223300970873,0.5529300567107751,-1,0.5393258426966292,0.1553398058252427,0.3,0.20618556701030927,0.8,0.44329896907216493,0.520618556701031,0.601123595505618,3.0,0.4174757281553398,0.941747572815534,0.42718446601941745,0.3409090909090909,26,0,20,0.4536082474226804,0.26804123711340205,0.0,0.20618556701030927
11,12,35,47,36,20,13,19,9,103.0,1,1.1844660194174756,0.6293850598431696,-7,0.44329896907216493,0.18446601941747573,0.2926829268292683,0.20224719101123595,0.8333333333333334,0.5393258426966292,0.601123595505618,0.520618556701031,3.0,0.46601941747572817,0.8640776699029126,0.4563106796116505,0.34375,26,1,24,0.3595505617977528,0.29213483146067415,0.011235955056179775,0.2696629213483146
12,8,32,40,17,24,8,14,0,96.2,0,0.9459459459459459,0.48569598633646455,-6,0.47674418604651164,0.14553014553014554,0.17777777777777778,0.2619047619047619,0.7727272727272727,0.4166666666666667,0.44047619047619047,0.4941860465116279,3.0,0.3638253638253638,0.8731808731808731,0.41580041580041577,0.18181818181818182,10,1,37,0.2619047619047619,0.11904761904761904,0.011904761904761904,0.44047619047619047
13,14,37,51,17,22,8,12,0,96.2,1,1.133056133056133,0.5518428513568246,2,0.4166666666666667,0.12474012474012473,0.30434782608695654,0.3372093023255814,0.8275862068965517,0.47674418604651164,0.4941860465116279,0.44047619047619047,3.0,0.42619542619542616,0.8939708939708939,0.5301455301455301,0.16666666666666666,20,0,31,0.20930232558139536,0.23255813953488372,0.0,0.36046511627906974
14,11,40,51,27,22,5,10,10,96.5,1,1.1088082901554406,0.5373644033748494,1,0.42391304347826086,0.10362694300518134,0.23404255319148937,0.2696629213483146,0.8333333333333334,0.449438202247191,0.4887640449438202,0.44021739130434784,3.0,0.41450777202072536,0.9222797927461139,0.5284974093264249,0.30434782608695654,24,1,30,0.25842696629213485,0.2696629213483146,0.011235955056179775,0.33707865168539325
15,10,36,46,23,22,4,8,5,96.5,0,0.994818652849741,0.4761904761904762,2,0.449438202247191,0.08290155440414508,0.2,0.21739130434782608,0.75,0.42391304347826086,0.44021739130434784,0.4887640449438202,3.0,0.40414507772020725,0.9533678756476683,0.47668393782383417,0.1875,46,0,21,0.17391304347826086,0.5,0.0,0.22826086956521738
16,15,30,45,20,23,6,11,5,91.7,0,1.0687022900763359,0.4961522883758607,4,0.45,0.11995637949836423,0.30612244897959184,0.3372093023255814,0.6896551724137931,0.4186046511627907,0.45348837209302323,0.51875,3.0,0.3925845147219193,0.9378407851690295,0.49073064340239914,0.3333333333333333,23,0,33,0.20930232558139536,0.26744186046511625,0.0,0.38372093023255816
17,11,34,45,19,25,6,13,11,91.7,1,1.1123227917121046,0.5550718328254245,-2,0.4186046511627907,0.14176663031624864,0.2682926829268293,0.3375,0.7037037037037037,0.45,0.51875,0.45348837209302323,3.0,0.3925845147219193,0.8724100327153762,0.49073064340239914,0.4583333333333333,20,0,30,0.3,0.25,0.0,0.375
18,11,47,58,18,22,7,25,4,107.6,1,0.9944237918215614,0.5486054142739951,-14,0.41304347826086957,0.23234200743494424,0.28205128205128205,0.39759036144578314,0.7575757575757576,0.4457831325301205,0.4939759036144578,0.42934782608695654,3.0,0.34386617100371747,0.7713754646840149,0.5390334572490707,0.3333333333333333,27,1,23,0.2891566265060241,0.3253012048192771,0.012048192771084338,0.27710843373493976
19,5,28,33,31,29,16,11,5,107.6,0,0.9479553903345725,0.49303944315545245,-6,0.4457831325301205,0.10223048327137547,0.09615384615384616,0.2826086956521739,0.8846153846153846,0.41304347826086957,0.42934782608695654,0.4939759036144578,3.0,0.35315985130111527,0.8550185873605949,0.30669144981412644,0.15789473684210525,32,0,36,0.20652173913043478,0.34782608695652173,0.0,0.391304347826087
20,13,40,53,19,23,7,10,3,100.8,1,1.0218253968253967,0.48842943854324733,3,0.42857142857142855,0.09920634920634921,0.2549019607843137,0.2765957446808511,0.7307692307692307,0.4148936170212766,0.44680851063829785,0.47023809523809523,3.0,0.3869047619047619,0.9325396825396826,0.5257936507936508,0.2727272727272727,40,1,29,0.23404255319148937,0.425531914893617,0.010638297872340425,0.30851063829787234
21,5,38,43,21,22,5,14,10,100.8,0,0.9623015873015873,0.5105263157894737,-9,0.4148936170212766,0.1388888888888889,0.1111111111111111,0.2976190476190476,0.72,0.42857142857142855,0.47023809523809523,0.44680851063829785,3.0,0.35714285714285715,0.8333333333333334,0.4265873015873016,0.2916666666666667,16,0,42,0.2857142857142857,0.19047619047619047,0.0,0.5
22,10,31,41,24,20,5,14,5,97.3,1,1.1613566289825281,0.5798440065681445,-4,0.4675324675324675,0.14388489208633093,0.24390243902439024,0.3023255813953488,0.7307692307692307,0.5116279069767442,0.5465116279069767,0.4935064935064935,3.0,0.4522096608427544,0.8838643371017472,0.42137718396711205,0.2857142857142857,18,0,42,0.2441860465116279,0.20930232558139536,0.0,0.4883720930232558
23,10,31,41,20,29,6,18,3,97.3,0,0.9660842754367933,0.5288028802880288,-8,0.5116279069767442,0.18499486125385406,0.24390243902439024,0.35064935064935066,0.6666666666666666,0.4675324675324675,0.4935064935064935,0.5465116279069767,3.0,0.3699897225077081,0.7913669064748202,0.42137718396711205,0.25,22,1,31,0.2077922077922078,0.2857142857142857,0.012987012987012988,0.4025974025974026
24,10,29,39,29,23,10,15,1,100.4,0,1.1354581673306772,0.5823457294646506,-5,0.5056179775280899,0.149402390438247,0.2631578947368421,0.313953488372093,0.7037037037037037,0.5116279069767442,0.5523255813953488,0.5730337078651685,3.0,0.43824701195219123,0.8565737051792828,0.3884462151394422,0.2413793103448276,34,0,15,0.3372093023255814,0.3953488372093023,0.0,0.1744186046511628
25,11,28,39,21,24,10,16,4,100.4,1,1.195219123505976,0.6080259424402107,-5,0.5116279069767442,0.1593625498007968,0.275,0.24719101123595505,0.8181818181818182,0.5056179775280899,0.5730337078651685,0.5523255813953488,3.0,0.448207171314741,0.8864541832669323,0.3884462151394422,0.34285714285714286,22,2,26,0.39325842696629215,0.24719101123595505,0.02247191011235955,0.29213483146067415
26,12,28,40,25,20,14,19,4,103.4,0,0.9574468085106382,0.4856750392464678,-7,0.5,0.18375241779497098,0.24,0.19148936170212766,0.7222222222222222,0.425531914893617,0.4574468085106383,0.5681818181818182,3.0,0.38684719535783363,0.9090909090909091,0.38684719535783363,0.3,18,0,42,0.2127659574468085,0.19148936170212766,0.0,0.44680851063829785
27,14,38,52,28,19,13,21,7,103.4,1,1.102514506769826,0.5942452043369475,-7,0.425531914893617,0.20309477756286265,0.3333333333333333,0.20454545454545456,0.7777777777777778,0.5,0.5681818181818182,0.4574468085106383,3.0,0.425531914893617,0.851063829787234,0.5029013539651838,0.46153846153846156,18,0,31,0.29545454545454547,0.20454545454545456,0.0,0.3522727272727273
28,3,33,36,22,25,6,12,6,94.7,0,1.045406546990496,0.5718576709796672,-9,0.391304347826087,0.12671594508975711,0.075,0.3157894736842105,0.625,0.5,0.5526315789473685,0.45108695652173914,0.0,0.4012671594508976,0.8025343189017952,0.3801478352692714,0.34782608695652173,18,0,23,0.3026315789473684,0.23684210526315788,0.0,0.3026315789473684
